Compare Type," ""Source Offset"""," ""Source Count (dec)"""," ""Source Count (hex)"""," ""Target Offset"""," ""Target Count (dec)"""," ""Target Count (hex)"""
Replaced, 0006AD2A,28, 1C, 0006AD77,28, 1C
Matched, 0006AD46,45, 2D, 0006AD93,45, 2D
Replaced, 0006AD73,37,25, 0006ADC0,37,25
Matched, 0006AD98,139, 8B, 0006ADE5,139, 8B
Replaced, 0006AE23,201, C9, 0006AE70,201, C9
Matched, 0006AEEC,35,23, 0006AF39,35,23
Replaced, 0006AF0F,6,6, 0006AF5C,6,6
Matched, 0006AF15,47, 2F, 0006AF62,47, 2F
Replaced, 0006AF44,2,2, 0006AF91,2,2
Matched, 0006AF46,33,21, 0006AF93,33,21
Replaced, 0006AF67,2,2, 0006AFB4,2,2
Matched, 0006AF69,33,21, 0006AFB6,33,21
Replaced, 0006AF8A,2,2, 0006AFD7,2,2
Matched, 0006AF8C,37,25, 0006AFD9,37,25
Replaced, 0006AFB1,146,92, 0006AFFE,146,92
Matched, 0006B043,39,27, 0006B090,39,27
Replaced, 0006B06A,96,60, 0006B0B7,96,60
Matched, 0006B0CA,53,35, 0006B117,53,35
Replaced, 0006B0FF,62, 3E, 0006B14C,62, 3E
Matched, 0006B13D,91, 5B, 0006B18A,91, 5B
Replaced, 0006B198,6,6, 0006B1E5,6,6
Matched, 0006B19E,55,37, 0006B1EB,55,37
Replaced, 0006B1D5,5,5, 0006B222,5,5
Matched, 0006B1DA,72,48, 0006B227,72,48
Replaced, 0006B222,27, 1B, 0006B26F,27, 1B
Matched, 0006B23D,47, 2F, 0006B28A,47, 2F
Replaced, 0006B26C,1,1, 0006B2B9,1,1
Matched, 0006B26D,93, 5D, 0006B2BA,93, 5D
Replaced, 0006B2CA,1,1, 0006B317,1,1
Matched, 0006B2CB,38,26, 0006B318,38,26
Replaced, 0006B2F1,35,23, 0006B33E,35,23
Matched, 0006B314,46, 2E, 0006B361,46, 2E
Replaced, 0006B342,2,2, 0006B38F,2,2
Matched, 0006B344,134,86, 0006B391,134,86
Replaced, 0006B3CA,1,1, 0006B417,1,1
Matched, 0006B3CB,80,50, 0006B418,80,50
Replaced, 0006B41B,33,21, 0006B468,33,21
Matched, 0006B43C,129,81, 0006B489,129,81
Replaced, 0006B4BD,2,2, 0006B50A,2,2
Matched, 0006B4BF,471, 01D7, 0006B50C,471, 01D7
Replaced, 0006B696,6,6, 0006B6E3,6,6
Matched, 0006B69C,33,21, 0006B6E9,33,21
Replaced, 0006B6BD,146,92, 0006B70A,146,92
