Compare Type," ""Source Offset"""," ""Source Count (dec)"""," ""Source Count (hex)"""," ""Target Offset"""," ""Target Count (dec)"""," ""Target Count (hex)"""
Replaced, 00070F53,30, 1E, 00070FA0,30, 1E
Matched, 00070F71,63, 3F, 00070FBE,63, 3F
Replaced, 00070FB0,1,1, 00070FFD,1,1
Matched, 00070FB1,44, 2C, 00070FFE,44, 2C
Replaced, 00070FDD,1,1, 0007102A,1,1
Matched, 00070FDE,35,23, 0007102B,35,23
Replaced,71001,15, 0F, 0007104E,15, 0F
Matched,71010,152,98, 0007105D,152,98
Replaced, 000710A8,74, 4A, 000710F5,74, 4A
Matched, 000710F2,76, 4C, 0007113F,76, 4C
Replaced, 0007113E,1,1, 0007118B,1,1
Matched, 0007113F,44, 2C, 0007118C,44, 2C
Replaced, 0007116B,30, 1E, 000711B8,30, 1E
Matched,71189,139, 8B, 000711D6,139, 8B
Replaced,71214,9,9,71261,9,9
Matched, 0007121D,65,41, 0007126A,65,41
Replaced, 0007125E,33,21, 000712AB,33,21
Matched, 0007127F,75, 4B, 000712CC,75, 4B
Replaced, 000712CA,150,96,71317,150,96
Matched,71360,44, 2C, 000713AD,44, 2C
Replaced, 0007138C,43, 2B, 000713D9,43, 2B
Matched, 000713B7,79, 4F,71404,79, 4F
Replaced,71406,13, 0D,71453,13, 0D
Matched,71413,107, 6B,71460,107, 6B
Replaced, 0007147E,42, 2A, 000714CB,42, 2A
Matched, 000714A8,308,134, 000714F5,308,134
Replaced, 000715DC,2,2,71629,2,2
Matched, 000715DE,51,33, 0007162B,51,33
Replaced,71611,9,9, 0007165E,9,9
Matched, 0007161A,243, F3,71667,243, F3
Replaced, 0007170D,139, 8B, 0007175A,139, 8B
Matched,71798,167, A7,7.17E+07,167, A7
Replaced, 0007183F,26, 1A, 0007188C,26, 1A
Matched,71859,71,47, 000718A6,71,47
Replaced, 000718A0,2,2, 000718ED,2,2
Matched, 000718A2,45, 2D, 000718EF,45, 2D
Replaced, 000718CF,2,2, 0007191C,2,2
Matched, 000718D1,180, B4, 0007191E,180, B4
Replaced,71985,25,19, 000719D2,25,19
Matched, 0007199E,50,32, 000719EB,50,32
Replaced, 000719D0,2,2, 00071A1D,2,2
Matched, 000719D2,114,72, 00071A1F,114,72
Replaced, 00071A44,2,2, 00071A91,2,2
Matched, 00071A46,78, 4E, 00071A93,78, 4E
Replaced, 00071A94,116,74, 00071AE1,116,74
Matched, 00071B08,63, 3F, 00071B55,63, 3F
Replaced, 00071B47,57,39, 00071B94,57,39
Matched, 00071B80,100,64, 00071BCD,100,64
Replaced, 00071BE4,46, 2E, 00071C31,46, 2E
Matched, 00071C12,37,25, 00071C5F,37,25
Replaced, 00071C37,9,9, 00071C84,9,9
Matched, 00071C40,37,25, 00071C8D,37,25
Replaced, 00071C65,9,9, 00071CB2,9,9
Matched, 00071C6E,37,25, 00071CBB,37,25
Replaced, 00071C93,9,9, 00071CE0,9,9
Matched, 00071C9C,37,25, 00071CE9,37,25
Replaced, 00071CC1,10, 0A, 00071D0E,10, 0A
Matched, 00071CCB,36,24, 00071D18,36,24
Replaced, 00071CEF,2,2, 00071D3C,2,2
Matched, 00071CF1,41,29, 00071D3E,41,29
Replaced, 00071D1A,67,43, 00071D67,67,43
Matched, 00071D5D,101,65, 00071DAA,101,65
Replaced, 00071DC2,46, 2E, 00071E0F,46, 2E
Matched, 00071DF0,37,25, 00071E3D,37,25
Replaced,7.10E+16,9,9,7.10E+63,9,9
Matched, 00071E1E,37,25, 00071E6B,37,25
Replaced,7.10E+44,9,9,7.10E+91,9,9
Matched, 00071E4C,37,25,7.10E+100,37,25
Replaced,7.10E+72,9,9, 00071EBE,9,9
Matched, 00071E7A,37,25, 00071EC7,37,25
Replaced, 00071E9F,10, 0A, 00071EEC,10, 0A
Matched, 00071EA9,36,24, 00071EF6,36,24
Replaced, 00071ECD,60, 3C, 00071F1A,60, 3C
Matched, 00071F09,101,65, 00071F56,101,65
Replaced, 00071F6E,140, 8C, 00071FBB,140, 8C
Matched, 00071FFA,109, 6D,72047,109, 6D
Replaced,72067,223, DF, 000720B4,223, DF
Matched,72146,104,68,72193,104,68
Replaced, 000721AE,47, 2F, 000721FB,47, 2F
Matched, 000721DD,36,24, 0007222A,36,24
Replaced,72201,9,9, 0007224E,9,9
Matched, 0007220A,37,25,72257,37,25
Replaced, 0007222F,9,9, 0007227C,9,9
Matched,72238,37,25,72285,37,25
Replaced, 0007225D,9,9, 000722AA,9,9
Matched,72266,37,25, 000722B3,37,25
Replaced, 0007228B,75, 4B, 000722D8,75, 4B
Matched, 000722D6,112,70,72323,112,70
Replaced,72346,253, FD,72393,253, FD
Matched,72443,110, 6E,72490,110, 6E
Replaced, 000724B1,251, FB, 000724FE,251, FB
Matched, 000725AC,111, 6F, 000725F9,111, 6F
Replaced, 0007261B,198, C6,72668,198, C6
Matched,7.26E+03,89,59, 0007272E,89,59
Replaced, 0007273A,35,23,72787,35,23
Matched, 0007275D,125, 7D, 000727AA,125, 7D
Replaced, 000727DA,38,26,72827,38,26
Matched,72800,89,59, 0007284D,89,59
Replaced,72859,5,5, 000728A6,5,5
Matched, 0007285E,128,80, 000728AB,128,80
Replaced, 000728DE,2,2, 0007292B,2,2
Matched,7.28E+02,5843, 16D3, 0007292D,5843, 16D3
Inserted, 00073FB3,77, 4D,74000,0,0
Matched,74000,679936, 000A6000,74000,679936, 000A6000
Replaced, 0011A000,491, 01EB, 0011A000,493, 01ED
Matched, 0011A1EB,19940, 4DE4, 0011A1ED,19940, 4DE4
Deleted, 0011EFCF,0,0, 0011EFD1,26, 1A
Matched, 0011EFCF,36885,9015, 0011EFEB,36885,9015
Replaced, 00127FE4,29, 1D,128000,1,1
Matched,128001,884735, 000D7FFF,128001,884735, 000D7FFF
