c000e6 adc $a6       [0000a6] A:b100 X:0012 Y:0005 S:01ea D:0000 DB:00 nvMXdiZc V: 77 H:  28 F:15
c000e8 sta $a6       [0000a6] A:b1b1 X:0012 Y:0005 S:01ea D:0000 DB:00 NvMXdizc V: 77 H:  48 F:15
c000ea jsl $c01cb0   [c01cb0] A:b1b1 X:0012 Y:0005 S:01ea D:0000 DB:00 NvMXdizc V: 77 H:  68 F:15
c01cb0 phx                    A:b1b1 X:0012 Y:0005 S:01e7 D:0000 DB:00 NvMXdizc V: 77 H: 122 F:15
c01cb1 rep #$20               A:b1b1 X:0012 Y:0005 S:01e6 D:0000 DB:00 NvMXdizc V: 77 H: 142 F:15
c01cb3 lda $a5       [0000a5] A:b1b1 X:0012 Y:0005 S:01e6 D:0000 DB:00 NvmXdizc V: 77 H: 160 F:15
c01cb5 sta $60       [000060] A:b152 X:0012 Y:0005 S:01e6 D:0000 DB:00 NvmXdizc V: 77 H: 188 F:15
c01cb7 sep #$20               A:b152 X:0012 Y:0005 S:01e6 D:0000 DB:00 NvmXdizc V: 77 H: 216 F:15
c01cb9 lda $a7       [0000a7] A:b152 X:0012 Y:0005 S:01e6 D:0000 DB:00 NvMXdizc V: 77 H: 234 F:15
c01cbb sta $62       [000062] A:b1d1 X:0012 Y:0005 S:01e6 D:0000 DB:00 NvMXdizc V: 77 H: 254 F:15
c01cbd ldx #$00               A:b1d1 X:0012 Y:0005 S:01e6 D:0000 DB:00 NvMXdizc V: 77 H: 274 F:15
c01cbf stz $0200,x   [000200] A:b1d1 X:0000 Y:0005 S:01e6 D:0000 DB:00 nvMXdiZc V: 77 H: 286 F:15
c01cc2 inx                    A:b1d1 X:0000 Y:0005 S:01e6 D:0000 DB:00 nvMXdiZc V: 77 H: 318 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0001 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H: 330 F:15
c01cbf stz $0200,x   [000201] A:b1d1 X:0001 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H: 348 F:15
c01cc2 inx                    A:b1d1 X:0001 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H: 380 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0002 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H: 392 F:15
c01cbf stz $0200,x   [000202] A:b1d1 X:0002 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H: 410 F:15
c01cc2 inx                    A:b1d1 X:0002 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H: 442 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0003 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H: 454 F:15
c01cbf stz $0200,x   [000203] A:b1d1 X:0003 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H: 472 F:15
c01cc2 inx                    A:b1d1 X:0003 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H: 504 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0004 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H: 516 F:15
c01cbf stz $0200,x   [000204] A:b1d1 X:0004 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H: 534 F:15
c01cc2 inx                    A:b1d1 X:0004 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H: 606 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0005 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H: 618 F:15
c01cbf stz $0200,x   [000205] A:b1d1 X:0005 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H: 636 F:15
c01cc2 inx                    A:b1d1 X:0005 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H: 668 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0006 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H: 680 F:15
c01cbf stz $0200,x   [000206] A:b1d1 X:0006 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H: 698 F:15
c01cc2 inx                    A:b1d1 X:0006 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H: 730 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0007 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H: 742 F:15
c01cbf stz $0200,x   [000207] A:b1d1 X:0007 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H: 760 F:15
c01cc2 inx                    A:b1d1 X:0007 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H: 792 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0008 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H: 804 F:15
c01cbf stz $0200,x   [000208] A:b1d1 X:0008 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H: 822 F:15
c01cc2 inx                    A:b1d1 X:0008 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H: 854 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0009 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H: 866 F:15
c01cbf stz $0200,x   [000209] A:b1d1 X:0009 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H: 884 F:15
c01cc2 inx                    A:b1d1 X:0009 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H: 916 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:000a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H: 928 F:15
c01cbf stz $0200,x   [00020a] A:b1d1 X:000a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H: 946 F:15
