c000e6 adc $a6       [0000a6] A:a200 X:0012 Y:0005 S:01ea D:0000 DB:00 nvMXdiZc V: 13 H: 248 F:15
c000e8 sta $a6       [0000a6] A:a2a2 X:0012 Y:0005 S:01ea D:0000 DB:00 NvMXdizc V: 13 H: 268 F:15
c000ea jsl $c01cb0   [c01cb0] A:a2a2 X:0012 Y:0005 S:01ea D:0000 DB:00 NvMXdizc V: 13 H: 288 F:15
c01cb0 phx                    A:a2a2 X:0012 Y:0005 S:01e7 D:0000 DB:00 NvMXdizc V: 13 H: 342 F:15
c01cb1 rep #$20               A:a2a2 X:0012 Y:0005 S:01e6 D:0000 DB:00 NvMXdizc V: 13 H: 362 F:15
c01cb3 lda $a5       [0000a5] A:a2a2 X:0012 Y:0005 S:01e6 D:0000 DB:00 NvmXdizc V: 13 H: 380 F:15
c01cb5 sta $60       [000060] A:a21b X:0012 Y:0005 S:01e6 D:0000 DB:00 NvmXdizc V: 13 H: 408 F:15
c01cb7 sep #$20               A:a21b X:0012 Y:0005 S:01e6 D:0000 DB:00 NvmXdizc V: 13 H: 436 F:15
c01cb9 lda $a7       [0000a7] A:a21b X:0012 Y:0005 S:01e6 D:0000 DB:00 NvMXdizc V: 13 H: 454 F:15
c01cbb sta $62       [000062] A:a2d1 X:0012 Y:0005 S:01e6 D:0000 DB:00 NvMXdizc V: 13 H: 474 F:15
c01cbd ldx #$00               A:a2d1 X:0012 Y:0005 S:01e6 D:0000 DB:00 NvMXdizc V: 13 H: 494 F:15
c01cbf stz $0200,x   [000200] A:a2d1 X:0000 Y:0005 S:01e6 D:0000 DB:00 nvMXdiZc V: 13 H: 506 F:15
c01cc2 inx                    A:a2d1 X:0000 Y:0005 S:01e6 D:0000 DB:00 nvMXdiZc V: 13 H: 578 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:0001 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H: 590 F:15
