c000e8 sta $a6       [0000a6] A:b2b2 X:0012 Y:0005 S:01ea D:0000 DB:00 NvMXdizc V:144 H:  98 F:15
c000ea jsl $c01cb0   [c01cb0] A:b2b2 X:0012 Y:0005 S:01ea D:0000 DB:00 NvMXdizc V:144 H: 118 F:15
c01cb0 phx                    A:b2b2 X:0012 Y:0005 S:01e7 D:0000 DB:00 NvMXdizc V:144 H: 172 F:15
c01cb1 rep #$20               A:b2b2 X:0012 Y:0005 S:01e6 D:0000 DB:00 NvMXdizc V:144 H: 192 F:15
c01cb3 lda $a5       [0000a5] A:b2b2 X:0012 Y:0005 S:01e6 D:0000 DB:00 NvmXdizc V:144 H: 210 F:15
c01cb5 sta $60       [000060] A:b219 X:0012 Y:0005 S:01e6 D:0000 DB:00 NvmXdizc V:144 H: 238 F:15
c01cb7 sep #$20               A:b219 X:0012 Y:0005 S:01e6 D:0000 DB:00 NvmXdizc V:144 H: 266 F:15
c01cb9 lda $a7       [0000a7] A:b219 X:0012 Y:0005 S:01e6 D:0000 DB:00 NvMXdizc V:144 H: 284 F:15
c01cbb sta $62       [000062] A:b2d1 X:0012 Y:0005 S:01e6 D:0000 DB:00 NvMXdizc V:144 H: 304 F:15
c01cbd ldx #$00               A:b2d1 X:0012 Y:0005 S:01e6 D:0000 DB:00 NvMXdizc V:144 H: 324 F:15
c01cbf stz $0200,x   [000200] A:b2d1 X:0000 Y:0005 S:01e6 D:0000 DB:00 nvMXdiZc V:144 H: 336 F:15
c01cc2 inx                    A:b2d1 X:0000 Y:0005 S:01e6 D:0000 DB:00 nvMXdiZc V:144 H: 368 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:0001 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H: 380 F:15
c01cbf stz $0200,x   [000201] A:b2d1 X:0001 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H: 398 F:15
c01cc2 inx                    A:b2d1 X:0001 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H: 430 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:0002 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H: 442 F:15
c01cbf stz $0200,x   [000202] A:b2d1 X:0002 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H: 460 F:15
c01cc2 inx                    A:b2d1 X:0002 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H: 492 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:0003 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H: 504 F:15
c01cbf stz $0200,x   [000203] A:b2d1 X:0003 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H: 522 F:15
c01cc2 inx                    A:b2d1 X:0003 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H: 594 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:0004 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H: 606 F:15
c01cbf stz $0200,x   [000204] A:b2d1 X:0004 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H: 624 F:15
c01cc2 inx                    A:b2d1 X:0004 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H: 656 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:0005 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H: 668 F:15
c01cbf stz $0200,x   [000205] A:b2d1 X:0005 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H: 686 F:15
c01cc2 inx                    A:b2d1 X:0005 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H: 718 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:0006 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H: 730 F:15
c01cbf stz $0200,x   [000206] A:b2d1 X:0006 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H: 748 F:15
c01cc2 inx                    A:b2d1 X:0006 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H: 780 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:0007 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H: 792 F:15
c01cbf stz $0200,x   [000207] A:b2d1 X:0007 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H: 810 F:15
c01cc2 inx                    A:b2d1 X:0007 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H: 842 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:0008 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H: 854 F:15
c01cbf stz $0200,x   [000208] A:b2d1 X:0008 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H: 872 F:15
c01cc2 inx                    A:b2d1 X:0008 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H: 904 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:0009 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H: 916 F:15
c01cbf stz $0200,x   [000209] A:b2d1 X:0009 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H: 934 F:15
c01cc2 inx                    A:b2d1 X:0009 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H: 966 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:000a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H: 978 F:15
c01cbf stz $0200,x   [00020a] A:b2d1 X:000a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H: 996 F:15
c01cc2 inx                    A:b2d1 X:000a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H:1028 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:000b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H:1040 F:15
c01cbf stz $0200,x   [00020b] A:b2d1 X:000b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H:1058 F:15
c01cc2 inx                    A:b2d1 X:000b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H:1090 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:000c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H:1102 F:15
c01cbf stz $0200,x   [00020c] A:b2d1 X:000c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H:1120 F:15
c01cc2 inx                    A:b2d1 X:000c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H:1152 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:000d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H:1164 F:15
c01cbf stz $0200,x   [00020d] A:b2d1 X:000d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H:1182 F:15
c01cc2 inx                    A:b2d1 X:000d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H:1214 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:000e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H:1226 F:15
c01cbf stz $0200,x   [00020e] A:b2d1 X:000e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H:1244 F:15
