c000e6 adc $a6       [0000a6] A:b100 X:0012 Y:0005 S:01ea D:0000 DB:00 nvMXdiZc V: 14 H:1040 F:14
c000e8 sta $a6       [0000a6] A:b1b1 X:0012 Y:0005 S:01ea D:0000 DB:00 NvMXdizc V: 14 H:1060 F:14
c000ea jsl $c01cb0   [c01cb0] A:b1b1 X:0012 Y:0005 S:01ea D:0000 DB:00 NvMXdizc V: 14 H:1080 F:14
c01cb0 phx                    A:b1b1 X:0012 Y:0005 S:01e7 D:0000 DB:00 NvMXdizc V: 14 H:1134 F:14
c01cb1 rep #$20               A:b1b1 X:0012 Y:0005 S:01e6 D:0000 DB:00 NvMXdizc V: 14 H:1154 F:14
c01cb3 lda $a5       [0000a5] A:b1b1 X:0012 Y:0005 S:01e6 D:0000 DB:00 NvmXdizc V: 14 H:1172 F:14
c01cb5 sta $60       [000060] A:b11a X:0012 Y:0005 S:01e6 D:0000 DB:00 NvmXdizc V: 14 H:1200 F:14
c01cb7 sep #$20               A:b11a X:0012 Y:0005 S:01e6 D:0000 DB:00 NvmXdizc V: 14 H:1228 F:14
c01cb9 lda $a7       [0000a7] A:b11a X:0012 Y:0005 S:01e6 D:0000 DB:00 NvMXdizc V: 14 H:1246 F:14
c01cbb sta $62       [000062] A:b1d1 X:0012 Y:0005 S:01e6 D:0000 DB:00 NvMXdizc V: 14 H:1266 F:14
c01cbd ldx #$00               A:b1d1 X:0012 Y:0005 S:01e6 D:0000 DB:00 NvMXdizc V: 14 H:1286 F:14
c01cbf stz $0200,x   [000200] A:b1d1 X:0000 Y:0005 S:01e6 D:0000 DB:00 nvMXdiZc V: 14 H:1298 F:14
c01cc2 inx                    A:b1d1 X:0000 Y:0005 S:01e6 D:0000 DB:00 nvMXdiZc V: 14 H:1330 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0001 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H:1342 F:14
c01cbf stz $0200,x   [000201] A:b1d1 X:0001 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H:1360 F:14
c01cc2 inx                    A:b1d1 X:0001 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H:  28 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0002 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H:  40 F:14
c01cbf stz $0200,x   [000202] A:b1d1 X:0002 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H:  58 F:14
c01cc2 inx                    A:b1d1 X:0002 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H:  90 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0003 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 102 F:14
c01cbf stz $0200,x   [000203] A:b1d1 X:0003 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 120 F:14
c01cc2 inx                    A:b1d1 X:0003 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 152 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0004 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 164 F:14
c01cbf stz $0200,x   [000204] A:b1d1 X:0004 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 182 F:14
c01cc2 inx                    A:b1d1 X:0004 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 214 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0005 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 226 F:14
c01cbf stz $0200,x   [000205] A:b1d1 X:0005 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 244 F:14
c01cc2 inx                    A:b1d1 X:0005 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 276 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0006 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 288 F:14
c01cbf stz $0200,x   [000206] A:b1d1 X:0006 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 306 F:14
c01cc2 inx                    A:b1d1 X:0006 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 338 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0007 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 350 F:14
c01cbf stz $0200,x   [000207] A:b1d1 X:0007 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 368 F:14
c01cc2 inx                    A:b1d1 X:0007 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 400 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0008 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 412 F:14
c01cbf stz $0200,x   [000208] A:b1d1 X:0008 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 430 F:14
c01cc2 inx                    A:b1d1 X:0008 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 462 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0009 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 474 F:14
c01cbf stz $0200,x   [000209] A:b1d1 X:0009 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 492 F:14
c01cc2 inx                    A:b1d1 X:0009 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 524 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:000a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 536 F:14
c01cbf stz $0200,x   [00020a] A:b1d1 X:000a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 594 F:14
c01cc2 inx                    A:b1d1 X:000a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 626 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:000b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 638 F:14
c01cbf stz $0200,x   [00020b] A:b1d1 X:000b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 656 F:14
c01cc2 inx                    A:b1d1 X:000b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 688 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:000c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 700 F:14
c01cbf stz $0200,x   [00020c] A:b1d1 X:000c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 718 F:14
c01cc2 inx                    A:b1d1 X:000c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 750 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:000d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 762 F:14
c01cbf stz $0200,x   [00020d] A:b1d1 X:000d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 780 F:14
c01cc2 inx                    A:b1d1 X:000d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 812 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:000e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 824 F:14
c01cbf stz $0200,x   [00020e] A:b1d1 X:000e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 842 F:14
c01cc2 inx                    A:b1d1 X:000e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 874 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:000f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 886 F:14
c01cbf stz $0200,x   [00020f] A:b1d1 X:000f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 904 F:14
c01cc2 inx                    A:b1d1 X:000f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 936 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0010 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 948 F:14
c01cbf stz $0200,x   [000210] A:b1d1 X:0010 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 966 F:14
c01cc2 inx                    A:b1d1 X:0010 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H: 998 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0011 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H:1010 F:14
c01cbf stz $0200,x   [000211] A:b1d1 X:0011 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H:1028 F:14
c01cc2 inx                    A:b1d1 X:0011 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H:1060 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0012 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H:1072 F:14
c01cbf stz $0200,x   [000212] A:b1d1 X:0012 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H:1090 F:14
c01cc2 inx                    A:b1d1 X:0012 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H:1122 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0013 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H:1134 F:14
c01cbf stz $0200,x   [000213] A:b1d1 X:0013 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H:1152 F:14
c01cc2 inx                    A:b1d1 X:0013 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H:1184 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0014 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H:1196 F:14
c01cbf stz $0200,x   [000214] A:b1d1 X:0014 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H:1214 F:14
c01cc2 inx                    A:b1d1 X:0014 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H:1246 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0015 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H:1258 F:14
c01cbf stz $0200,x   [000215] A:b1d1 X:0015 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H:1276 F:14
c01cc2 inx                    A:b1d1 X:0015 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H:1308 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0016 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H:1320 F:14
c01cbf stz $0200,x   [000216] A:b1d1 X:0016 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 15 H:1338 F:14
c01cc2 inx                    A:b1d1 X:0016 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H:   6 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0017 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H:  18 F:14
c01cbf stz $0200,x   [000217] A:b1d1 X:0017 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H:  36 F:14
c01cc2 inx                    A:b1d1 X:0017 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H:  68 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0018 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H:  80 F:14
c01cbf stz $0200,x   [000218] A:b1d1 X:0018 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H:  98 F:14
c01cc2 inx                    A:b1d1 X:0018 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 130 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0019 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 142 F:14
c01cbf stz $0200,x   [000219] A:b1d1 X:0019 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 160 F:14
c01cc2 inx                    A:b1d1 X:0019 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 192 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:001a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 204 F:14
c01cbf stz $0200,x   [00021a] A:b1d1 X:001a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 222 F:14
c01cc2 inx                    A:b1d1 X:001a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 254 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:001b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 266 F:14
c01cbf stz $0200,x   [00021b] A:b1d1 X:001b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 284 F:14
c01cc2 inx                    A:b1d1 X:001b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 316 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:001c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 328 F:14
c01cbf stz $0200,x   [00021c] A:b1d1 X:001c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 346 F:14
c01cc2 inx                    A:b1d1 X:001c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 378 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:001d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 390 F:14
c01cbf stz $0200,x   [00021d] A:b1d1 X:001d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 408 F:14
c01cc2 inx                    A:b1d1 X:001d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 440 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:001e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 452 F:14
c01cbf stz $0200,x   [00021e] A:b1d1 X:001e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 470 F:14
c01cc2 inx                    A:b1d1 X:001e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 502 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:001f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 514 F:14
c01cbf stz $0200,x   [00021f] A:b1d1 X:001f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 532 F:14
c01cc2 inx                    A:b1d1 X:001f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 604 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0020 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 616 F:14
c01cbf stz $0200,x   [000220] A:b1d1 X:0020 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 634 F:14
c01cc2 inx                    A:b1d1 X:0020 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 666 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0021 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 678 F:14
c01cbf stz $0200,x   [000221] A:b1d1 X:0021 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 696 F:14
c01cc2 inx                    A:b1d1 X:0021 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 728 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0022 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 740 F:14
c01cbf stz $0200,x   [000222] A:b1d1 X:0022 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 758 F:14
c01cc2 inx                    A:b1d1 X:0022 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 790 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0023 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 802 F:14
c01cbf stz $0200,x   [000223] A:b1d1 X:0023 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 820 F:14
c01cc2 inx                    A:b1d1 X:0023 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 852 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0024 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 864 F:14
c01cbf stz $0200,x   [000224] A:b1d1 X:0024 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 882 F:14
c01cc2 inx                    A:b1d1 X:0024 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 914 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0025 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 926 F:14
c01cbf stz $0200,x   [000225] A:b1d1 X:0025 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 944 F:14
c01cc2 inx                    A:b1d1 X:0025 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 976 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0026 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H: 988 F:14
c01cbf stz $0200,x   [000226] A:b1d1 X:0026 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H:1006 F:14
c01cc2 inx                    A:b1d1 X:0026 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H:1038 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0027 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H:1050 F:14
c01cbf stz $0200,x   [000227] A:b1d1 X:0027 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H:1068 F:14
c01cc2 inx                    A:b1d1 X:0027 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H:1100 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0028 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H:1112 F:14
c01cbf stz $0200,x   [000228] A:b1d1 X:0028 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H:1130 F:14
c01cc2 inx                    A:b1d1 X:0028 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H:1162 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0029 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H:1174 F:14
c01cbf stz $0200,x   [000229] A:b1d1 X:0029 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H:1192 F:14
c01cc2 inx                    A:b1d1 X:0029 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H:1224 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:002a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H:1236 F:14
c01cbf stz $0200,x   [00022a] A:b1d1 X:002a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H:1254 F:14
c01cc2 inx                    A:b1d1 X:002a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H:1286 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:002b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H:1298 F:14
c01cbf stz $0200,x   [00022b] A:b1d1 X:002b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H:1316 F:14
